epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.154,0.99907,9.63686,0.69191,0.84259,1.36187,0.9527,0.93929,0.98065,0.80495,0.57064,0.30587,0.23642,0.0508,0.80996,6.82757,0.55271,0.46363,1.18105,0.00333042,0.00333042,0.00333042
2,398.518,0.88509,7.24371,0.64074,0.63027,1.25509,0.93736,0.94485,0.98027,0.79424,0.75658,0.46324,0.43644,0.16558,0.82864,5.12382,0.41757,0.47964,1.20077,0.00659778,0.00659778,0.00659778
3,585.045,0.93319,6.49514,0.58392,0.68181,1.28359,0.9184,0.94122,0.97316,0.76007,0.72609,0.50038,0.44949,0.19167,0.91811,4.94728,0.33006,0.56009,1.27711,0.00979914,0.00979914,0.00979914
4,770.91,0.94945,6.05011,0.51284,0.68634,1.28429,0.92982,0.87423,0.94129,0.71845,0.83961,0.5511,0.57232,0.32707,0.97084,4.32606,0.24001,0.63926,1.3117,0.009703,0.009703,0.009703
5,956.289,0.91893,5.59199,0.46201,0.65091,1.26181,0.93897,0.93468,0.97515,0.78532,0.80574,0.61089,0.6171,0.3943,0.81965,3.79301,0.17314,0.48943,1.18466,0.009604,0.009604,0.009604
6,1142,0.88326,5.24029,0.43175,0.61264,1.23306,0.94884,0.93346,0.97507,0.79801,0.78977,0.64677,0.62961,0.38367,0.79227,3.55408,0.1374,0.47497,1.15763,0.009505,0.009505,0.009505
7,1327.61,0.86269,5.01908,0.40721,0.59448,1.21918,0.95419,0.95493,0.98315,0.81298,0.79268,0.64835,0.65457,0.4237,0.77433,3.39876,0.12435,0.4408,1.1445,0.009406,0.009406,0.009406
8,1513.45,0.8428,4.81681,0.39091,0.57616,1.20748,0.95735,0.94915,0.98358,0.82716,0.81688,0.67076,0.69658,0.46793,0.73434,3.23137,0.12854,0.42167,1.12373,0.009307,0.009307,0.009307
9,1700.01,0.83159,4.73793,0.37801,0.56195,1.19762,0.9547,0.9179,0.97072,0.80679,0.80184,0.65266,0.6517,0.44705,0.77458,3.35213,0.11733,0.46287,1.1506,0.009208,0.009208,0.009208
10,1886.36,0.81675,4.5888,0.3703,0.55482,1.19082,0.9593,0.95996,0.98748,0.84368,0.80629,0.70825,0.71338,0.49936,0.69525,2.9996,0.09362,0.3943,1.08614,0.009109,0.009109,0.009109
11,2076.06,0.80265,4.46499,0.36587,0.53548,1.18157,0.9543,0.95863,0.98569,0.83464,0.8343,0.69453,0.72448,0.5149,0.74201,2.98839,0.08277,0.39845,1.10385,0.00901,0.00901,0.00901
12,2260.66,0.78796,4.36073,0.35655,0.52482,1.16825,0.96401,0.96388,0.98826,0.85372,0.82196,0.73745,0.74328,0.52483,0.68732,2.82302,0.09304,0.37737,1.07955,0.008911,0.008911,0.008911
13,2450.21,0.78303,4.27251,0.35298,0.51839,1.1689,0.9642,0.96234,0.98789,0.85397,0.79192,0.7021,0.67617,0.46783,0.66475,2.93706,0.08217,0.36702,1.06342,0.008812,0.008812,0.008812
14,2641.14,0.77282,4.19929,0.34759,0.50863,1.16356,0.95965,0.95966,0.98757,0.85389,0.8465,0.74539,0.77223,0.55854,0.65818,2.67123,0.0875,0.3639,1.05826,0.008713,0.008713,0.008713
15,2830.96,0.7674,4.06619,0.34294,0.50187,1.16027,0.95585,0.96747,0.98773,0.8511,0.83601,0.74744,0.76285,0.55867,0.65451,2.55307,0.07722,0.36169,1.05482,0.008614,0.008614,0.008614
16,3021.46,0.75816,4.01495,0.34115,0.49852,1.15611,0.95942,0.96644,0.98701,0.85885,0.84587,0.75128,0.78432,0.59203,0.66265,2.46338,0.07726,0.35462,1.06103,0.008515,0.008515,0.008515
17,3212.86,0.75554,3.98487,0.33582,0.49514,1.15217,0.96373,0.96635,0.98869,0.87232,0.83913,0.75893,0.78256,0.59715,0.62508,2.42669,0.07962,0.34004,1.03376,0.008416,0.008416,0.008416
18,3397.13,0.74837,3.9073,0.32933,0.49217,1.14626,0.96562,0.96568,0.98878,0.86983,0.84396,0.75366,0.77105,0.58694,0.62541,2.46746,0.07888,0.34025,1.03333,0.008317,0.008317,0.008317
19,3580.37,0.73474,3.82542,0.32539,0.47975,1.13906,0.96392,0.96844,0.98988,0.87717,0.83629,0.77216,0.77636,0.59992,0.61434,2.42046,0.07832,0.32732,1.02656,0.008218,0.008218,0.008218
20,3763.54,0.7315,3.81229,0.32257,0.47794,1.13547,0.97264,0.96993,0.9899,0.87756,0.85225,0.78753,0.80736,0.62274,0.61725,2.28967,0.06996,0.32174,1.02641,0.008119,0.008119,0.008119
21,3950.55,0.72852,3.74419,0.31884,0.47121,1.13502,0.96897,0.96791,0.98943,0.87778,0.84732,0.78906,0.80838,0.63321,0.61128,2.24182,0.06777,0.32417,1.02115,0.00802,0.00802,0.00802
22,4136.06,0.72968,3.75101,0.31709,0.47727,1.13369,0.96803,0.96948,0.99012,0.88158,0.84523,0.78804,0.80446,0.63093,0.60241,2.27534,0.07127,0.31914,1.01589,0.007921,0.007921,0.007921
23,4323.39,0.72073,3.61874,0.31437,0.4659,1.13075,0.96877,0.97335,0.99028,0.88067,0.84393,0.79229,0.8065,0.64022,0.60429,2.24506,0.06509,0.31209,1.01688,0.007822,0.007822,0.007822
24,4509.56,0.71998,3.5537,0.31205,0.46814,1.12995,0.97007,0.97144,0.99017,0.88081,0.84494,0.80257,0.80795,0.63688,0.5889,2.20431,0.06781,0.31036,1.00439,0.007723,0.007723,0.007723
25,4695.88,0.71972,3.53675,0.31045,0.46696,1.12835,0.97023,0.97243,0.99048,0.88668,0.85304,0.8093,0.82745,0.65949,0.59653,2.1578,0.06475,0.30801,1.01129,0.007624,0.007624,0.007624
26,4881.37,0.7146,3.48267,0.30467,0.46086,1.12593,0.96922,0.97189,0.99043,0.88777,0.85081,0.80046,0.81916,0.65992,0.5827,2.1546,0.06521,0.30303,1.00134,0.007525,0.007525,0.007525
27,5070.8,0.70834,3.43866,0.30219,0.45349,1.12182,0.96992,0.97387,0.99081,0.88654,0.85179,0.8097,0.82856,0.66727,0.58532,2.10608,0.06235,0.3037,1.0027,0.007426,0.007426,0.007426
28,5263.93,0.70774,3.39707,0.29983,0.45406,1.12286,0.9712,0.97336,0.99076,0.88741,0.86067,0.80507,0.82552,0.66621,0.57599,2.08502,0.06361,0.29993,0.99849,0.007327,0.007327,0.007327
29,5456.33,0.70893,3.39036,0.29679,0.45318,1.11985,0.97147,0.97528,0.99065,0.8896,0.86185,0.81494,0.82942,0.67024,0.56962,2.03645,0.06186,0.29493,0.99373,0.007228,0.007228,0.007228
30,5648.3,0.69706,3.35206,0.29746,0.44517,1.11605,0.97024,0.97592,0.99041,0.89202,0.8559,0.81173,0.82929,0.67546,0.57154,2.05639,0.05997,0.29614,0.99673,0.007129,0.007129,0.007129
31,5841.42,0.69816,3.32259,0.29342,0.44725,1.11886,0.97161,0.97362,0.99062,0.89325,0.84929,0.81122,0.82751,0.67784,0.56766,2.04782,0.05891,0.29322,0.99196,0.00703,0.00703,0.00703
